code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SHFE.cu.2202,LONG,202201040903,70120,202201040904,70070,1,-250,350,-300,-250,enterlong,exitlong,1,2
SHFE.cu.2202,LONG,202201040905,70080,202201040906,70010,1,-350,50,-400,-600,enterlong,exitlong,3,4
SHFE.cu.2202,SHORT,202201040907,69920,202201040908,69960,1,-200,50,-450,-800,entershort,exitshort,5,6
SHFE.cu.2202,SHORT,202201040911,69900,202201040912,69920,1,-100,0,-350,-900,entershort,exitshort,9,10
SHFE.cu.2202,LONG,202201040914,69950,202201040915,69860,1,-450,0,-500,-1350,enterlong,exitlong,12,13
SHFE.cu.2202,SHORT,202201040920,69790,202201040934,69690,1,500,850,-250,-850,entershort,exitshort,18,32
SHFE.cu.2202,LONG,202201040936,69730,202201040937,69670,1,-300,0,-350,-1150,enterlong,exitlong,34,35
SHFE.cu.2202,SHORT,202201040938,69640,202201040943,69700,1,-300,200,-350,-1450,entershort,exitshort,36,41
SHFE.cu.2202,SHORT,202201040946,69700,202201040947,69720,1,-100,0,-200,-1550,entershort,exitshort,44,45
SHFE.cu.2202,LONG,202201040948,69740,202201040949,69740,1,0,0,-150,-1550,enterlong,exitlong,46,47
SHFE.cu.2202,SHORT,202201040951,69730,202201040954,69680,1,250,450,0,-1300,entershort,exitshort,49,52
SHFE.cu.2202,LONG,202201040956,69690,202201040957,69670,1,-100,0,-200,-1400,enterlong,exitlong,54,55
SHFE.cu.2202,LONG,202201040958,69670,202201040959,69680,1,50,50,-150,-1350,enterlong,exitlong,56,57
SHFE.cu.2202,LONG,202201041000,69720,202201041002,69660,1,-300,100,-350,-1650,enterlong,exitlong,58,60
SHFE.cu.2202,SHORT,202201041003,69620,202201041004,69630,1,-50,100,-150,-1700,entershort,exitshort,61,62
SHFE.cu.2202,LONG,202201041005,69670,202201041006,69650,1,-100,100,-100,-1800,enterlong,exitlong,63,64
SHFE.cu.2202,LONG,202201041008,69690,202201041009,69670,1,-100,50,-100,-1900,enterlong,exitlong,66,67
SHFE.cu.2202,SHORT,202201041010,69660,202201041013,69670,1,-50,100,-150,-1950,entershort,exitshort,68,71
SHFE.cu.2202,LONG,202201041014,69690,202201041032,69700,1,50,250,-50,-1900,enterlong,exitlong,72,75
SHFE.cu.2202,SHORT,202201041033,69680,202201041034,69680,1,-0,0,-100,-1900,entershort,exitshort,76,77
SHFE.cu.2202,LONG,202201041035,69710,202201041038,69750,1,200,350,-50,-1700,enterlong,exitlong,78,81
SHFE.cu.2202,LONG,202201041039,69770,202201041042,69760,1,-50,200,-50,-1750,enterlong,exitlong,82,85
SHFE.cu.2202,LONG,202201041043,69790,202201041047,69810,1,100,100,-100,-1650,enterlong,exitlong,86,90
SHFE.cu.2202,LONG,202201041049,69810,202201041052,69810,1,0,100,-50,-1650,enterlong,exitlong,92,95
SHFE.cu.2202,SHORT,202201041053,69790,202201041055,69790,1,-0,100,-100,-1650,entershort,exitshort,96,98
SHFE.cu.2202,LONG,202201041056,69790,202201041058,69770,1,-100,100,-100,-1750,enterlong,exitlong,99,101
SHFE.cu.2202,LONG,202201041059,69780,202201041102,69790,1,50,200,0,-1700,enterlong,exitlong,102,105
SHFE.cu.2202,SHORT,202201041103,69800,202201041106,69770,1,150,200,-100,-1550,entershort,exitshort,106,109
SHFE.cu.2202,LONG,202201041107,69790,202201041108,69780,1,-50,0,-100,-1600,enterlong,exitlong,110,111
SHFE.cu.2202,SHORT,202201041109,69780,202201041110,69760,1,100,150,-50,-1500,entershort,exitshort,112,113
SHFE.cu.2202,LONG,202201041111,69770,202201041112,69750,1,-100,50,-200,-1600,enterlong,exitlong,114,115
SHFE.cu.2202,LONG,202201041113,69770,202201041114,69760,1,-50,100,-50,-1650,enterlong,exitlong,116,117
SHFE.cu.2202,LONG,202201041115,69770,202201041117,69770,1,0,100,-100,-1650,enterlong,exitlong,118,120
SHFE.cu.2202,SHORT,202201041118,69730,202201041119,69750,1,-100,0,-150,-1750,entershort,exitshort,121,122
SHFE.cu.2202,SHORT,202201041120,69740,202201041121,69730,1,50,50,-100,-1700,entershort,exitshort,123,124
SHFE.cu.2202,LONG,202201041122,69750,202201041125,69770,1,100,250,0,-1600,enterlong,exitlong,125,128
SHFE.cu.2202,SHORT,202201041126,69770,202201041127,69760,1,50,100,-150,-1550,entershort,exitshort,129,130
SHFE.cu.2202,LONG,202201041128,69740,202201041130,69750,1,50,150,0,-1500,enterlong,exitlong,131,133
SHFE.cu.2202,LONG,202201041331,69760,202201041334,69800,1,200,250,0,-1300,enterlong,exitlong,134,137
SHFE.cu.2202,LONG,202201041335,69820,202201041336,69830,1,50,50,-50,-1250,enterlong,exitlong,138,139
SHFE.cu.2202,SHORT,202201041337,69830,202201041339,69850,1,-100,100,-200,-1350,entershort,exitshort,140,142
SHFE.cu.2202,SHORT,202201041340,69820,202201041342,69830,1,-50,0,-200,-1400,entershort,exitshort,143,145
SHFE.cu.2202,SHORT,202201041344,69790,202201041354,69720,1,350,600,-50,-1050,entershort,exitshort,147,157
SHFE.cu.2202,LONG,202201041355,69740,202201041356,69730,1,-50,0,-150,-1100,enterlong,exitlong,158,159
SHFE.cu.2202,SHORT,202201041357,69720,202201041359,69720,1,-0,100,-50,-1100,entershort,exitshort,160,162
SHFE.cu.2202,LONG,202201041400,69730,202201041403,69720,1,-50,150,-100,-1150,enterlong,exitlong,163,166
SHFE.cu.2202,SHORT,202201041404,69700,202201041407,69690,1,50,150,-50,-1100,entershort,exitshort,167,170
SHFE.cu.2202,SHORT,202201041408,69690,202201041413,69690,1,-0,100,-50,-1100,entershort,exitshort,171,176
SHFE.cu.2202,SHORT,202201041414,69650,202201041416,69670,1,-100,0,-100,-1200,entershort,exitshort,177,179
SHFE.cu.2202,SHORT,202201041417,69650,202201041418,69680,1,-150,50,-200,-1350,entershort,exitshort,180,181
SHFE.cu.2202,SHORT,202201041422,69680,202201041424,69660,1,100,150,0,-1250,entershort,exitshort,185,187
SHFE.cu.2202,SHORT,202201041428,69640,202201041429,69660,1,-100,0,-200,-1350,entershort,exitshort,191,192
SHFE.cu.2202,LONG,202201041432,69680,202201041433,69670,1,-50,50,-100,-1400,enterlong,exitlong,195,196
SHFE.cu.2202,LONG,202201041434,69670,202201041435,69670,1,0,50,-50,-1400,enterlong,exitlong,197,198
SHFE.cu.2202,SHORT,202201041436,69660,202201041437,69670,1,-50,0,-50,-1450,entershort,exitshort,199,200
SHFE.cu.2202,SHORT,202201041438,69660,202201041439,69650,1,50,50,-50,-1400,entershort,exitshort,201,202
SHFE.cu.2202,LONG,202201041440,69670,202201041441,69670,1,0,0,-50,-1400,enterlong,exitlong,203,204
SHFE.cu.2202,SHORT,202201041442,69660,202201041443,69700,1,-200,50,-200,-1600,entershort,exitshort,205,206
SHFE.cu.2202,LONG,202201041444,69710,202201041445,69680,1,-150,0,-150,-1750,enterlong,exitlong,207,208
