date,closeprofit,positionprofit,dynbalance,fee
20220104,-2200.00,0.00,-2200.00,0.00
20220105,-5100.00,-150.00,-5250.00,0.00
20220106,-9150.00,0.00,-9150.00,0.00
20220107,-9200.00,-50.00,-9250.00,0.00
20220110,-13950.00,-150.00,-14100.00,0.00
20220111,-17650.00,50.00,-17600.00,0.00
20220112,-19150.00,400.00,-18750.00,0.00
20220113,-27150.00,-100.00,-27250.00,0.00
20220114,-27500.00,50.00,-27450.00,0.00
20220117,-23300.00,0.00,-23300.00,0.00
20220118,-23600.00,0.00,-23600.00,0.00
20220119,-25250.00,0.00,-25250.00,0.00
20220120,-24250.00,0.00,-24250.00,0.00
20220121,-27400.00,50.00,-27350.00,0.00
20220124,-24850.00,-50.00,-24900.00,0.00
20220125,-23450.00,500.00,-22950.00,0.00
20220126,-21700.00,0.00,-21700.00,0.00
20220127,-24500.00,500.00,-24000.00,0.00
20220128,-27650.00,500.00,-27150.00,0.00
20220207,-31600.00,-200.00,-31800.00,0.00
20220208,-33250.00,0.00,-33250.00,0.00
20220209,-37700.00,50.00,-37650.00,0.00
20220210,-30650.00,750.00,-29900.00,0.00
20220211,-32050.00,-600.00,-32650.00,0.00
20220214,-31200.00,650.00,-30550.00,0.00
20220215,-33200.00,650.00,-32550.00,0.00
