code,target,sigprice,gentime,usertag
SHFE.cu.2202,1,70140,20220104090200000,enterlong
SHFE.cu.2202,0,70060,20220104090300000,exitlong
SHFE.cu.2202,1,70080,20220104090400000,enterlong
SHFE.cu.2202,0,70000,20220104090500000,exitlong
SHFE.cu.2202,-1,69930,20220104090600000,entershort
SHFE.cu.2202,0,69950,20220104090700000,exitshort
SHFE.cu.2202,-1,69910,20220104091000000,entershort
SHFE.cu.2202,0,69920,20220104091100000,exitshort
SHFE.cu.2202,1,69950,20220104091300000,enterlong
SHFE.cu.2202,0,69880,20220104091400000,exitlong
SHFE.cu.2202,-1,69780,20220104091900000,entershort
SHFE.cu.2202,0,69690,20220104093300000,exitshort
SHFE.cu.2202,1,69720,20220104093500000,enterlong
SHFE.cu.2202,0,69670,20220104093600000,exitlong
SHFE.cu.2202,-1,69630,20220104093700000,entershort
SHFE.cu.2202,0,69710,20220104094200000,exitshort
SHFE.cu.2202,-1,69700,20220104094500000,entershort
SHFE.cu.2202,0,69720,20220104094600000,exitshort
SHFE.cu.2202,1,69740,20220104094700000,enterlong
SHFE.cu.2202,0,69740,20220104094800000,exitlong
SHFE.cu.2202,-1,69730,20220104095000000,entershort
SHFE.cu.2202,0,69670,20220104095300000,exitshort
SHFE.cu.2202,1,69690,20220104095500000,enterlong
SHFE.cu.2202,0,69670,20220104095600000,exitlong
SHFE.cu.2202,1,69670,20220104095700000,enterlong
SHFE.cu.2202,0,69670,20220104095800000,exitlong
SHFE.cu.2202,1,69720,20220104095900000,enterlong
SHFE.cu.2202,0,69660,20220104100100000,exitlong
SHFE.cu.2202,-1,69620,20220104100200000,entershort
SHFE.cu.2202,0,69630,20220104100300000,exitshort
SHFE.cu.2202,1,69660,20220104100400000,enterlong
SHFE.cu.2202,0,69650,20220104100500000,exitlong
SHFE.cu.2202,1,69700,20220104100700000,enterlong
SHFE.cu.2202,0,69670,20220104100800000,exitlong
SHFE.cu.2202,-1,69660,20220104100900000,entershort
SHFE.cu.2202,0,69670,20220104101200000,exitshort
SHFE.cu.2202,1,69690,20220104101300000,enterlong
SHFE.cu.2202,0,69700,20220104103100000,exitlong
SHFE.cu.2202,-1,69680,20220104103200000,entershort
SHFE.cu.2202,0,69680,20220104103300000,exitshort
SHFE.cu.2202,1,69710,20220104103400000,enterlong
SHFE.cu.2202,0,69750,20220104103700000,exitlong
SHFE.cu.2202,1,69770,20220104103800000,enterlong
SHFE.cu.2202,0,69760,20220104104100000,exitlong
SHFE.cu.2202,1,69790,20220104104200000,enterlong
SHFE.cu.2202,0,69810,20220104104600000,exitlong
SHFE.cu.2202,1,69810,20220104104800000,enterlong
SHFE.cu.2202,0,69810,20220104105100000,exitlong
SHFE.cu.2202,-1,69790,20220104105200000,entershort
SHFE.cu.2202,0,69790,20220104105400000,exitshort
SHFE.cu.2202,1,69790,20220104105500000,enterlong
SHFE.cu.2202,0,69780,20220104105700000,exitlong
SHFE.cu.2202,1,69780,20220104105800000,enterlong
SHFE.cu.2202,0,69790,20220104110100000,exitlong
SHFE.cu.2202,-1,69800,20220104110200000,entershort
SHFE.cu.2202,0,69770,20220104110500000,exitshort
SHFE.cu.2202,1,69790,20220104110600000,enterlong
SHFE.cu.2202,0,69780,20220104110700000,exitlong
SHFE.cu.2202,-1,69780,20220104110800000,entershort
SHFE.cu.2202,0,69760,20220104110900000,exitshort
SHFE.cu.2202,1,69770,20220104111000000,enterlong
SHFE.cu.2202,0,69750,20220104111100000,exitlong
SHFE.cu.2202,1,69770,20220104111200000,enterlong
SHFE.cu.2202,0,69760,20220104111300000,exitlong
SHFE.cu.2202,1,69770,20220104111400000,enterlong
SHFE.cu.2202,0,69770,20220104111600000,exitlong
SHFE.cu.2202,-1,69740,20220104111700000,entershort
SHFE.cu.2202,0,69750,20220104111800000,exitshort
SHFE.cu.2202,-1,69740,20220104111900000,entershort
SHFE.cu.2202,0,69730,20220104112000000,exitshort
SHFE.cu.2202,1,69750,20220104112100000,enterlong
SHFE.cu.2202,0,69770,20220104112400000,exitlong
SHFE.cu.2202,-1,69770,20220104112500000,entershort
SHFE.cu.2202,0,69760,20220104112600000,exitshort
SHFE.cu.2202,1,69740,20220104112700000,enterlong
SHFE.cu.2202,0,69750,20220104112900000,exitlong
SHFE.cu.2202,1,69770,20220104113000000,enterlong
SHFE.cu.2202,0,69800,20220104133300000,exitlong
SHFE.cu.2202,1,69820,20220104133400000,enterlong
SHFE.cu.2202,0,69820,20220104133500000,exitlong
SHFE.cu.2202,-1,69830,20220104133600000,entershort
SHFE.cu.2202,0,69850,20220104133800000,exitshort
SHFE.cu.2202,-1,69820,20220104133900000,entershort
SHFE.cu.2202,0,69850,20220104134100000,exitshort
SHFE.cu.2202,-1,69790,20220104134300000,entershort
SHFE.cu.2202,0,69720,20220104135300000,exitshort
SHFE.cu.2202,1,69740,20220104135400000,enterlong
SHFE.cu.2202,0,69730,20220104135500000,exitlong
SHFE.cu.2202,-1,69720,20220104135600000,entershort
SHFE.cu.2202,0,69720,20220104135800000,exitshort
SHFE.cu.2202,1,69740,20220104135900000,enterlong
SHFE.cu.2202,0,69720,20220104140200000,exitlong
SHFE.cu.2202,-1,69700,20220104140300000,entershort
SHFE.cu.2202,0,69690,20220104140600000,exitshort
SHFE.cu.2202,-1,69690,20220104140700000,entershort
SHFE.cu.2202,0,69690,20220104141200000,exitshort
SHFE.cu.2202,-1,69650,20220104141300000,entershort
SHFE.cu.2202,0,69670,20220104141500000,exitshort
SHFE.cu.2202,-1,69650,20220104141600000,entershort
SHFE.cu.2202,0,69690,20220104141700000,exitshort
