code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SHFE.cu.HOT,LONG,202101040903,57850,202101040904,57830,1,-100,100,-400,-157.85,enterlong,exitlong,1,2
SHFE.cu.HOT,LONG,202101040905,57920,202101040908,57950,1,150,450,-100,-65.79,enterlong,exitlong,3,6
SHFE.cu.HOT,LONG,202101040909,57980,202101040912,57930,1,-250,200,-450,-373.75,enterlong,exitlong,7,10
SHFE.cu.HOT,SHORT,202101040913,57900,202101040916,57860,1,200,400,0,-231.63,entershort,exitshort,11,14
SHFE.cu.HOT,SHORT,202101040921,57890,202101040923,57940,1,-250,100,-250,-539.55,entershort,exitshort,19,21
SHFE.cu.HOT,LONG,202101040931,57980,202101040934,57930,1,-250,350,-300,-847.51,enterlong,exitlong,29,32
SHFE.cu.HOT,LONG,202101040935,57920,202101040945,58020,1,500,650,-100,-405.48,enterlong,exitlong,33,43
SHFE.cu.HOT,LONG,202101040946,58060,202101040947,58050,1,-50,50,-150,-513.54,enterlong,exitlong,44,45
SHFE.cu.HOT,SHORT,202101040948,58020,202101040949,58040,1,-100,0,-150,-671.57,entershort,exitshort,46,47
SHFE.cu.HOT,LONG,202101040950,58050,202101040952,58080,1,150,200,-50,-579.64,enterlong,exitlong,48,50
SHFE.cu.HOT,SHORT,202101040953,58070,202101040954,58060,1,50,50,-100,-587.71,entershort,exitshort,51,52
SHFE.cu.HOT,LONG,202101040955,58070,202101040956,58040,1,-150,0,-200,-795.77,enterlong,exitlong,53,54
SHFE.cu.HOT,SHORT,202101040957,58020,202101040958,58030,1,-50,0,-100,-903.8,entershort,exitshort,55,56
SHFE.cu.HOT,LONG,202101041001,58060,202101041002,58060,1,0,100,-100,-961.86,enterlong,exitlong,59,60
SHFE.cu.HOT,LONG,202101041004,58060,202101041005,58050,1,-50,50,-100,-1069.92,enterlong,exitlong,62,63
SHFE.cu.HOT,LONG,202101041007,58060,202101041012,58110,1,250,300,-50,-878.01,enterlong,exitlong,65,70
SHFE.cu.HOT,SHORT,202101041013,58090,202101041015,58070,1,100,100,-50,-836.1,entershort,exitshort,71,73
SHFE.cu.HOT,LONG,202101041032,58110,202101041033,58090,1,-100,0,-100,-994.21,enterlong,exitlong,75,76
SHFE.cu.HOT,SHORT,202101041034,58080,202101041035,58090,1,-50,50,-150,-1102.3,entershort,exitshort,77,78
SHFE.cu.HOT,SHORT,202101041036,58080,202101041037,58100,1,-100,0,-100,-1260.39,entershort,exitshort,79,80
SHFE.cu.HOT,LONG,202101041039,58100,202101041040,58080,1,-100,50,-100,-1418.48,enterlong,exitlong,82,83
SHFE.cu.HOT,SHORT,202101041041,58060,202101041042,58070,1,-50,50,-100,-1526.55,entershort,exitshort,84,85
SHFE.cu.HOT,SHORT,202101041043,58060,202101041044,58070,1,-50,0,-50,-1634.62,entershort,exitshort,86,87
SHFE.cu.HOT,SHORT,202101041045,58070,202101041046,58080,1,-50,0,-50,-1742.7,entershort,exitshort,88,89
