date,closeprofit,positionprofit,dynbalance,fee
20210104,-900.00,0.00,-4909.24,4009.24
20210105,-800.00,-50.00,-10929.74,10079.74
20210106,750.00,0.00,-15277.16,16027.16
20210107,-650.00,-100.00,-23437.04,22687.04
20210108,1300.00,750.00,-27123.85,29173.85
20210111,2400.00,150.00,-32936.58,35486.58
20210112,-100.00,250.00,-42336.30,42486.30
20210113,-3000.00,0.00,-52780.80,49780.80
20210114,-4200.00,200.00,-61363.78,57363.78
20210115,-8350.00,-200.00,-72497.52,63947.52
20210118,-12950.00,0.00,-83119.18,70169.18
20210119,-11600.00,150.00,-88513.99,77063.99
20210120,-10350.00,50.00,-93565.66,83265.66
20210121,-13900.00,100.00,-104344.88,90544.88
20210122,-17800.00,350.00,-115788.56,98338.56
20210125,-21150.00,0.00,-126889.74,105739.74
20210126,-20600.00,0.00,-133549.21,112949.21
20210127,-20150.00,-100.00,-140668.42,120418.42
20210128,-25800.00,0.00,-152535.79,126735.79
20210129,-29500.00,0.00,-163695.46,134195.46
20210201,-34500.00,0.00,-175824.15,141324.15
20210202,-37700.00,0.00,-187007.46,149307.46
20210203,-37800.00,-200.00,-194105.46,156105.46
20210204,-37600.00,0.00,-200422.69,162822.69
20210205,-40750.00,-50.00,-211813.97,171013.97
20210208,-44700.00,0.00,-223172.39,178472.39
20210209,-45150.00,-100.00,-231161.55,185911.55
20210210,-44450.00,-300.00,-237564.32,192814.32
20210218,-50200.00,0.00,-245530.96,195330.96
20210219,-55650.00,200.00,-257754.99,202304.99
20210222,-55400.00,0.00,-264823.02,209423.02
20210223,-42250.00,0.00,-258928.56,216678.56
20210224,-53200.00,150.00,-277417.84,224367.84
20210225,-56600.00,550.00,-288496.39,232446.39
20210226,-71050.00,700.00,-311235.01,240885.01
20210301,-72900.00,400.00,-319738.93,247238.93
20210302,-73300.00,300.00,-328524.45,255524.45
20210303,-68300.00,0.00,-330432.95,262132.95
20210304,-71100.00,1100.00,-340154.67,270154.67
20210305,-59150.00,0.00,-336357.62,277207.62
20210308,-57800.00,200.00,-342558.52,284958.52
20210309,-51350.00,-250.00,-343439.77,291839.77
20210310,-53850.00,0.00,-353406.93,299556.93
20210311,-54250.00,50.00,-362450.44,308250.44
20210312,-50200.00,50.00,-366448.62,316298.62
20210315,-56050.00,0.00,-380801.81,324751.81
20210316,-56300.00,2150.00,-388321.12,334171.12
20210317,-51750.00,-150.00,-393529.38,341629.38
20210318,-54800.00,0.00,-403920.93,349120.93
20210319,-57300.00,0.00,-414210.96,356910.96
20210322,-48750.00,100.00,-413113.53,364463.53
20210323,-45200.00,-150.00,-417267.61,371917.61
20210324,-44700.00,0.00,-424703.20,380003.20
20210325,-46700.00,0.00,-434267.17,387567.17
20210326,-52400.00,0.00,-447983.57,395583.57
20210329,-56250.00,250.00,-460258.71,404258.71
20210330,-61700.00,150.00,-475168.78,413618.78
20210331,-62050.00,0.00,-482856.00,420806.00
20210401,-60200.00,0.00,-488350.81,428150.81
20210402,-59800.00,550.00,-494282.49,435032.49
20210406,-56800.00,150.00,-495307.86,438657.86
20210407,-61850.00,200.00,-509442.18,447792.18
20210408,-62700.00,0.00,-517985.08,455285.08
20210409,-65400.00,200.00,-529084.40,463884.40
20210412,-64750.00,500.00,-536023.31,471773.31
20210413,-67700.00,250.00,-546412.85,478962.85
20210414,-71550.00,300.00,-558627.87,487377.87
20210415,-70150.00,0.00,-564736.43,494586.43
20210416,-71900.00,650.00,-574035.26,502785.26
20210419,-72450.00,400.00,-582238.30,510188.30
20210420,-71850.00,200.00,-590849.45,519199.45
20210421,-72950.00,150.00,-599997.38,527197.38
20210422,-74050.00,-100.00,-608962.79,534812.79
20210423,-79150.00,-50.00,-621633.59,542433.59
20210426,-86650.00,100.00,-638048.33,551498.33
20210427,-90700.00,0.00,-650554.97,559854.97
20210428,-97950.00,200.00,-665742.18,567992.18
20210429,-98100.00,0.00,-674840.13,576740.13
20210430,-96800.00,600.00,-681358.76,585158.76
20210506,-97300.00,0.00,-685929.35,588629.35
20210507,-100500.00,-100.00,-698969.99,598369.99
20210510,-106100.00,800.00,-712069.17,606769.17
20210511,-107750.00,300.00,-722466.95,615016.95
20210512,-114100.00,50.00,-739293.19,625243.19
20210513,-118650.00,0.00,-752535.39,633885.39
20210514,-120400.00,0.00,-762095.23,641695.23
20210517,-125650.00,-150.00,-776417.89,650617.89
20210518,-122850.00,0.00,-781958.01,659108.01
20210519,-126950.00,100.00,-794483.51,667633.51
20210520,-121450.00,0.00,-796839.88,675389.88
20210521,-131550.00,-200.00,-815686.44,683936.44
20210524,-138850.00,-150.00,-832123.96,693123.96
20210525,-138700.00,0.00,-840026.73,701326.73
20210526,-138300.00,500.00,-847286.11,709486.11
20210527,-138700.00,0.00,-857265.92,718565.92
20210528,-141300.00,600.00,-866355.49,725655.49
20210531,-140100.00,0.00,-873687.43,733587.43
20210601,-138500.00,450.00,-881582.94,743532.94
20210602,-140050.00,50.00,-892031.14,752031.14
20210603,-140650.00,200.00,-901251.10,760801.10
20210604,-149950.00,0.00,-918713.20,768763.20
20210607,-147600.00,0.00,-925144.36,777544.36
20210608,-151550.00,250.00,-937945.17,786645.17
