code,target,sigprice,gentime,usertag
SHFE.cu.HOT,1,57840,20210104090200000,enterlong
SHFE.cu.HOT,0,57830,20210104090300000,exitlong
SHFE.cu.HOT,1,57920,20210104090400000,enterlong
SHFE.cu.HOT,0,57950,20210104090700000,exitlong
SHFE.cu.HOT,1,57980,20210104090800000,enterlong
SHFE.cu.HOT,0,57930,20210104091100000,exitlong
SHFE.cu.HOT,-1,57890,20210104091200000,entershort
SHFE.cu.HOT,0,57860,20210104091500000,exitshort
SHFE.cu.HOT,-1,57890,20210104092000000,entershort
SHFE.cu.HOT,0,57930,20210104092200000,exitshort
SHFE.cu.HOT,1,57980,20210104093000000,enterlong
SHFE.cu.HOT,0,57940,20210104093300000,exitlong
SHFE.cu.HOT,1,57920,20210104093400000,enterlong
SHFE.cu.HOT,0,58020,20210104094400000,exitlong
SHFE.cu.HOT,1,58050,20210104094500000,enterlong
SHFE.cu.HOT,0,58050,20210104094600000,exitlong
SHFE.cu.HOT,-1,58020,20210104094700000,entershort
SHFE.cu.HOT,0,58040,20210104094800000,exitshort
SHFE.cu.HOT,1,58050,20210104094900000,enterlong
SHFE.cu.HOT,0,58070,20210104095100000,exitlong
SHFE.cu.HOT,-1,58070,20210104095200000,entershort
SHFE.cu.HOT,0,58070,20210104095300000,exitshort
SHFE.cu.HOT,1,58080,20210104095400000,enterlong
SHFE.cu.HOT,0,58030,20210104095500000,exitlong
SHFE.cu.HOT,-1,58020,20210104095600000,entershort
SHFE.cu.HOT,0,58030,20210104095700000,exitshort
SHFE.cu.HOT,1,58060,20210104100000000,enterlong
SHFE.cu.HOT,0,58060,20210104100100000,exitlong
SHFE.cu.HOT,1,58060,20210104100300000,enterlong
SHFE.cu.HOT,0,58050,20210104100400000,exitlong
SHFE.cu.HOT,1,58060,20210104100600000,enterlong
SHFE.cu.HOT,0,58120,20210104101100000,exitlong
SHFE.cu.HOT,-1,58090,20210104101200000,entershort
SHFE.cu.HOT,0,58070,20210104101400000,exitshort
SHFE.cu.HOT,1,58110,20210104103100000,enterlong
SHFE.cu.HOT,0,58100,20210104103200000,exitlong
SHFE.cu.HOT,-1,58080,20210104103300000,entershort
SHFE.cu.HOT,0,58090,20210104103400000,exitshort
SHFE.cu.HOT,-1,58080,20210104103500000,entershort
SHFE.cu.HOT,0,58100,20210104103600000,exitshort
SHFE.cu.HOT,1,58100,20210104103800000,enterlong
SHFE.cu.HOT,0,58080,20210104103900000,exitlong
SHFE.cu.HOT,-1,58060,20210104104000000,entershort
SHFE.cu.HOT,0,58070,20210104104100000,exitshort
SHFE.cu.HOT,-1,58060,20210104104200000,entershort
SHFE.cu.HOT,0,58070,20210104104300000,exitshort
SHFE.cu.HOT,-1,58070,20210104104400000,entershort
SHFE.cu.HOT,0,58080,20210104104500000,exitshort
SHFE.cu.HOT,1,58090,20210104104600000,enterlong
SHFE.cu.HOT,0,58070,20210104104700000,exitlong
SHFE.cu.HOT,1,58080,20210104104800000,enterlong
SHFE.cu.HOT,0,58050,20210104104900000,exitlong
SHFE.cu.HOT,1,58060,20210104105000000,enterlong
SHFE.cu.HOT,0,58090,20210104105100000,exitlong
SHFE.cu.HOT,-1,58080,20210104105200000,entershort
SHFE.cu.HOT,0,58040,20210104105500000,exitshort
SHFE.cu.HOT,1,58040,20210104105600000,enterlong
SHFE.cu.HOT,0,58060,20210104105700000,exitlong
SHFE.cu.HOT,1,58080,20210104105800000,enterlong
SHFE.cu.HOT,0,58080,20210104105900000,exitlong
SHFE.cu.HOT,-1,58070,20210104110000000,entershort
SHFE.cu.HOT,0,58080,20210104110100000,exitshort
SHFE.cu.HOT,-1,58070,20210104110200000,entershort
SHFE.cu.HOT,0,58080,20210104110300000,exitshort
SHFE.cu.HOT,1,58100,20210104110400000,enterlong
SHFE.cu.HOT,0,58100,20210104110500000,exitlong
SHFE.cu.HOT,1,58090,20210104110600000,enterlong
SHFE.cu.HOT,0,58100,20210104110800000,exitlong
SHFE.cu.HOT,1,58120,20210104110900000,enterlong
SHFE.cu.HOT,0,58100,20210104111000000,exitlong
SHFE.cu.HOT,-1,58090,20210104111100000,entershort
SHFE.cu.HOT,0,58100,20210104111200000,exitshort
SHFE.cu.HOT,1,58120,20210104111300000,enterlong
SHFE.cu.HOT,0,58110,20210104111400000,exitlong
