code,time,direct,action,price,qty,tag,fee,barno
SHFE.cu.HOT,202101040903,LONG,OPEN,57850,1,enterlong,28.93,1
SHFE.cu.HOT,202101040904,LONG,CLOSE,57830,1,exitlong,28.92,2
SHFE.cu.HOT,202101040905,LONG,OPEN,57920,1,enterlong,28.96,3
SHFE.cu.HOT,202101040908,LONG,CLOSE,57950,1,exitlong,28.98,6
SHFE.cu.HOT,202101040909,LONG,OPEN,57980,1,enterlong,28.99,7
SHFE.cu.HOT,202101040912,LONG,CLOSE,57930,1,exitlong,28.97,10
SHFE.cu.HOT,202101040913,SHORT,OPEN,57900,1,entershort,28.95,11
SHFE.cu.HOT,202101040916,SHORT,CLOSE,57860,1,exitshort,28.93,14
SHFE.cu.HOT,202101040921,SHORT,OPEN,57890,1,entershort,28.95,19
SHFE.cu.HOT,202101040923,SHORT,CLOSE,57940,1,exitshort,28.97,21
SHFE.cu.HOT,202101040931,LONG,OPEN,57980,1,enterlong,28.99,29
SHFE.cu.HOT,202101040934,LONG,CLOSE,57930,1,exitlong,28.97,32
SHFE.cu.HOT,202101040935,LONG,OPEN,57920,1,enterlong,28.96,33
SHFE.cu.HOT,202101040945,LONG,CLOSE,58020,1,exitlong,29.01,43
SHFE.cu.HOT,202101040946,LONG,OPEN,58060,1,enterlong,29.03,44
SHFE.cu.HOT,202101040947,LONG,CLOSE,58050,1,exitlong,29.03,45
SHFE.cu.HOT,202101040948,SHORT,OPEN,58020,1,entershort,29.01,46
SHFE.cu.HOT,202101040949,SHORT,CLOSE,58040,1,exitshort,29.02,47
SHFE.cu.HOT,202101040950,LONG,OPEN,58050,1,enterlong,29.03,48
SHFE.cu.HOT,202101040952,LONG,CLOSE,58080,1,exitlong,29.04,50
SHFE.cu.HOT,202101040953,SHORT,OPEN,58070,1,entershort,29.04,51
SHFE.cu.HOT,202101040954,SHORT,CLOSE,58060,1,exitshort,29.03,52
SHFE.cu.HOT,202101040955,LONG,OPEN,58070,1,enterlong,29.04,53
SHFE.cu.HOT,202101040956,LONG,CLOSE,58040,1,exitlong,29.02,54
SHFE.cu.HOT,202101040957,SHORT,OPEN,58020,1,entershort,29.01,55
SHFE.cu.HOT,202101040958,SHORT,CLOSE,58030,1,exitshort,29.02,56
SHFE.cu.HOT,202101041001,LONG,OPEN,58060,1,enterlong,29.03,59
SHFE.cu.HOT,202101041002,LONG,CLOSE,58060,1,exitlong,29.03,60
SHFE.cu.HOT,202101041004,LONG,OPEN,58060,1,enterlong,29.03,62
SHFE.cu.HOT,202101041005,LONG,CLOSE,58050,1,exitlong,29.03,63
SHFE.cu.HOT,202101041007,LONG,OPEN,58060,1,enterlong,29.03,65
SHFE.cu.HOT,202101041012,LONG,CLOSE,58110,1,exitlong,29.06,70
